Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2005,0.6,0.6,0.4,0.4,0.3,0.1,-0.1,-0.1,-0.1,-0.3,-0.6,-0.8,0.972666667,0.903,0.836,0.668,0.428,0.258666667,0.1585,0.053066667,-0.0696,-0.160766667,-0.199666667,-0.215333333
2006,-0.9,-0.8,-0.6,-0.4,-0.1,0,0.1,0.3,0.5,0.8,0.9,0.9,-0.175933333,-0.0576,0.139066667,0.394,0.663666667,0.890333333,1.024,1.07,1.12,1.133333333,0.927333333,0.400333333
2007,0.7,0.2,-0.1,-0.3,-0.4,-0.5,-0.6,-0.8,-1.1,-1.3,-1.5,-1.6,-0.266333333,-0.807,-1.073333333,-1.116666667,-0.998333333,-0.864333333,-0.826,-0.885,-0.935,-0.874666667,-0.697666667,-0.464333333
2008,-1.6,-1.5,-1.3,-1,-0.8,-0.6,-0.4,-0.2,-0.2,-0.4,-0.6,-0.7,-0.164666667,0.218,0.637333333,0.965666667,1.126666667,1.090666667,0.829,0.401766667,-0.0069,-0.297233333,-0.446333333,-0.442333333
2009,-0.8,-0.8,-0.6,-0.3,0,0.3,0.5,0.6,0.7,1,1.4,1.6,-0.285866667,-0.013533333,0.332466667,0.708,1.048666667,1.22,1.206666667,1.095666667,0.998333333,0.973,0.933666667,0.809
2010,1.5,1.2,0.8,0.4,-0.2,-0.7,-1,-1.3,-1.6,-1.6,-1.6,-1.6,0.626333333,0.403333333,0.085,-0.375333333,-0.825333333,-1.118333333,-1.303333333,-1.453333333,-1.543333333,-1.45,-1.169,-0.698333333
2011,-1.4,-1.2,-0.9,-0.7,-0.6,-0.4,-0.5,-0.6,-0.8,-1,-1.1,-1,-0.068666667,0.563666667,1.043,1.253333333,1.22,0.990333333,0.633666667,0.260333333,-0.051,-0.248333333,-0.318,-0.270666667
2012,-0.9,-0.7,-0.6,-0.5,-0.3,0,0.2,0.4,0.4,0.3,0.1,-0.2,-0.1275,0.0695,0.315833333,0.587333333,0.825666667,0.936666667,0.882666667,0.710333333,0.490333333,0.264766667,0.081166667,-0.005346667
2013,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.3,0.03022,0.111486667,0.162,0.183666667,0.258666667,0.414666667,0.591333333,0.731333333,0.823666667,0.867666667,0.867666667,0.869
2014,-0.4,-0.5,-0.3,0,0.2,0.2,0,0.1,0.2,0.5,0.6,0.7,1.003333333,1.294,1.593333333,1.663333333,1.48,1.213333333,1.073333333,1.096666667,1.18,1.2,1.110333333,0.967
2015,0.5,0.5,0.5,0.7,0.9,1.2,1.5,1.9,2.2,2.4,2.6,2.6,0.911,1.020666667,1.267333333,1.49,1.6,1.62,1.613333333,1.586666667,1.49,1.271666667,0.933666667,0.467233333
2016,2.5,2.1,1.6,0.9,0.4,-0.1,-0.4,-0.5,-0.6,-0.7,-0.7,-0.6,-0.1341,-0.852766667,-1.539666667,-1.99,-2.1,-1.93,-1.636666667,-1.353333333,-1.131666667,-0.944,-0.705333333,-0.425
2017,-0.3,-0.2,0.1,0.2,0.3,0.3,0.1,-0.1,-0.4,-0.7,-0.8,-1,-0.164233333,0.0111,0.1221,0.202666667,0.226,0.1282,-0.1318,-0.496133333,-0.814666667,-0.947333333,-0.819,-0.4597
2018,-0.9,-0.9,-0.7,-0.5,-0.2,0,0.1,0.2,0.5,0.8,0.9,0.8,0.043633333,0.558966667,1.009666667,1.363333333,1.606666667,1.716666667,1.753333333,1.813333333,1.92,1.953333333,1.82,1.55
2019,0.7,0.7,0.7,0.7,0.5,0.5,0.3,0.1,0.2,0.3,0.5,0.5,1.276666667,1.017666667,0.714,0.368366667,0.0843,-0.055866667,-0.0657,0.029033333,0.206533333,0.395,0.512666667,0.522666667
2020,0.5,0.5,0.4,0.2,-0.1,-0.3,-0.4,-0.6,-0.9,-1.2,-1.3,-1.2,0.452666667,0.3053,0.103966667,-0.068366667,-0.107333333,-0.021666667,0.047833333,-0.014166667,-0.156833333,-0.228666667,-0.151033333,0.0333
2021,-1,-0.9,-0.8,-0.7,-0.5,-0.4,-0.4,-0.5,-0.7,-0.8,-1,-1,0.2683,0.519666667,0.753333333,0.901666667,0.931666667,0.847,0.656,0.397333333,0.150266667,0.031133333,0.134133333,0.4562
2022,-1,-0.9,-1,-1.1,-1,-0.9,-0.8,-0.9,-1,-1,-0.9,-0.8,0.881333333,1.223666667,1.44,1.596666667,1.743333333,1.786666667,1.646666667,1.39,1.17,1.13,1.283333333,1.523333333
2023,-0.7,-0.4,-0.1,0.1,,,,,,,,,1.73,1.866666667,1.983333333,,,,,,,,,
