Time,ENSO val
Feb-76,-1.2
Mar-76,-0.7
Apr-76,-0.5
May-76,-0.3
Jun-76,0
Jul-76,0.2
Aug-76,0.4
Sep-76,0.6
Oct-76,0.8
Nov-76,0.9
Dec-76,0.8
Jan-77,0.7
Feb-77,0.6
Mar-77,0.3
Apr-77,0.2
May-77,0.2
Jun-77,0.3
Jul-77,0.4
Aug-77,0.4
Sep-77,0.6
Oct-77,0.7
Nov-77,0.8
Dec-77,0.8
Jan-78,0.7
Feb-78,0.4
Mar-78,0.1
Apr-78,-0.2
May-78,-0.3
Jun-78,-0.3
Jul-78,-0.4
Aug-78,-0.4
Sep-78,-0.4
Oct-78,-0.3
Nov-78,-0.1
Dec-78,0
Jan-79,0
Feb-79,0.1
Mar-79,0.2
Apr-79,0.3
May-79,0.2
Jun-79,0
Jul-79,0
Aug-79,0.2
Sep-79,0.3
Oct-79,0.5
Nov-79,0.5
Dec-79,0.6
Jan-80,0.6
Feb-80,0.5
Mar-80,0.3
Apr-80,0.4
May-80,0.5
Jun-80,0.5
Jul-80,0.3
Aug-80,0
Sep-80,-0.1
Oct-80,0
Nov-80,0.1
Dec-80,0
Jan-81,-0.3
Feb-81,-0.5
Mar-81,-0.5
Apr-81,-0.4
May-81,-0.3
Jun-81,-0.3
Jul-81,-0.3
Aug-81,-0.2
Sep-81,-0.2
Oct-81,-0.1
Nov-81,-0.2
Dec-81,-0.1
Jan-82,0
Feb-82,0.1
Mar-82,0.2
Apr-82,0.5
May-82,0.7
Jun-82,0.7
Jul-82,0.8
Aug-82,1.1
Sep-82,1.6
Oct-82,2
Nov-82,2.2
Dec-82,2.2
Jan-83,2.2
Feb-83,1.9
Mar-83,1.5
Apr-83,1.3
May-83,1.1
Jun-83,0.7
Jul-83,0.3
Aug-83,-0.1
Sep-83,-0.5
Oct-83,-0.8
Nov-83,-1
Dec-83,-0.9
Jan-84,-0.6
Feb-84,-0.4
Mar-84,-0.3
Apr-84,-0.4
May-84,-0.5
Jun-84,-0.4
Jul-84,-0.3
Aug-84,-0.2
Sep-84,-0.2
Oct-84,-0.6
Nov-84,-0.9
Dec-84,-1.1
Jan-85,-1
Feb-85,-0.8
Mar-85,-0.8
Apr-85,-0.8
May-85,-0.8
Jun-85,-0.6
Jul-85,-0.5
Aug-85,-0.5
Sep-85,-0.4
Oct-85,-0.3
